Make,Model,Trim,Start Year,End Year,Showroom Base Weight (lbs),Factory Rated HP,Factory Rated Torque,Power (2/3HP + 1/3Torque),Weight/ Power,Scaled Weight/ Power,SUSP Index,Performance Adjustment,Showroom Assessment,Base Classification,p,q,Selected,Assessment,,,source_csv_row,reject_reason
Toyota,Matrix,,2010,,2865,132,128,130.7,21.9,18.8,50,-5,13.8,T5 ,FALSE,,FALSE,,FALSE,FALSE,451,row 451: Model 'Matrix' does not match any model key/name for make 'toyota'
Toyota,Matrix S,,2010,,3360,158,162,159.3,21.1,22.4,50,-5,17.4,T5 ,FALSE,,FALSE,,FALSE,FALSE,452,row 452: Model 'Matrix S' does not match any model key/name for make 'toyota'
Toyota,Matrix XRS,,2010,,3220,158,162,159.3,20.2,26.1,50,-5,21.1,T5 ,FALSE,,FALSE,,FALSE,FALSE,453,row 453: Model 'Matrix XRS' does not match any model key/name for make 'toyota'
Triumph,TR4,,1961,1965,2130,100,127,109,19.5,28.9,30,-15,13.9,T5 ,FALSE,,FALSE,,FALSE,FALSE,462,row 462: Model 'TR4' does not match any model key/name for make 'triumph'
Triumph,TR6,,1969,1976,2491,106,133,115,21.7,19.9,25,-17.5,2.4,T5 ,FALSE,,FALSE,,FALSE,FALSE,463,row 463: Model 'TR6' does not match any model key/name for make 'triumph'
Triumph,TR7/8 Convertible,,1979,1980,2654,137,165,146.3,18.1,34.9,45,-7.5,27.4,T5 ,FALSE,,FALSE,,FALSE,FALSE,465,row 465: Model 'TR7/8 Convertible' does not match any model key/name for make 'triumph'
Ultima,GTR,,2006,,2183,534,528,532,4.1,94.6,115,27.5,122.1,#REF!,FALSE,,FALSE,,FALSE,FALSE,466,row 466: unknown Make 'Ultima' (not in makes_and_models.json)
Ultima,GTR720,,2006,,2183,720,580,673.3,3.2,98.2,115,27.5,125.7,#REF!,FALSE,,FALSE,,FALSE,FALSE,467,row 467: unknown Make 'Ultima' (not in makes_and_models.json)
Volkswagon,Golf GTI,,1998,1998,2565,115,122,117.3,21.9,19.1,50,-5,14.1,T5 ,FALSE,,FALSE,,FALSE,FALSE,468,row 468: unknown Make 'Volkswagon' (not in makes_and_models.json)
Volkswagon,Golf GTI 1.8T,,2000,2000,2906,150,155,151.7,19.2,30.6,55,-2.5,28.1,T5 ,FALSE,,FALSE,,FALSE,FALSE,469,row 469: unknown Make 'Volkswagon' (not in makes_and_models.json)
